keyphrase,P1,P2,P3,P4,P5
Username Password,0,0,0,0,1
Watchlist,0,0,1,0,0
Weather Image,0,0,0,0,1
Widgets Menus,1,0,0,0,1
Widgettoscreen 47,1,0,0,0,0
Xp Menus,0,0,0,1,0
Xpi,0,0,0,1,1
Xpinstall,0,1,0,0,0
Xptoolkit M10,0,1,0,0,0
Xptoolkit Xpwidget,0,1,0,0,0
Xul File Chrome Messenger,1,0,0,0,0
Xul Localizable,1,0,0,0,0
