cluster_id,canonical_phrase,phrase_count,phrases,weight
30,Current User,3,"[""current user"", ""currentuser"", ""an8bitscript currentuser""]",0.376
31,Does Open,2,"[""does open"", ""open location""]",0.294
32,Dynamic Content,3,"[""dynamic"", ""dynamic content"", ""dynamic content instead""]",0.217
33,Read Write,4,"[""style user modify read"", ""read write"", ""modify read write"", ""user modify read write""]",0.362
34,Mouse Button,3,"[""onmousemove"", ""mouse"", ""mouse button""]",0.314
35,Nsiresult,2,"[""nsiresult"", ""nscrt""]",0.264
36,Inherit Properties,2,"[""inherit properties"", ""properties""]",0.187
37,10Px,4,"[""10px"", ""2px"", ""10mpx"", ""55px""]",0.381
38,Tasks Adding,4,"[""tasks adding"", ""task"", ""tasks"", ""tasks reassigning""]",0.948
39,Type Box,2,"[""type box"", ""type field""]",0.137
40,Inline Block,7,"[""inline block"", ""display inline block"", ""inline box"", ""implement inline block"", ""inline style"", ""inline elements"", ""inline box""]",0.7
41,Weather Image,3,"[""weather image"", ""complex javascript weather"", ""complex javascript weather image""]",0.447
42,Native Foo,3,"[""native foo"", ""ref native foo"", ""foo""]",0.386
43,Ender Dll,8,"[""dll"", ""ender dll"", ""dll ender"", ""dll ender dll"", ""ender dll ender dll"", ""dll"", ""dll"", ""dll kernel32 dll""]",1.774
44,H1 Jpg,3,"[""jpg"", ""h1 jpg"", ""h2 jpg""]",0.514
45,Gifcom Gif,4,"[""gifcom"", ""gifcom gif"", ""libimg gifcom gif cpp"", ""modules libimg gifcom gif""]",0.332
46,Ini File,5,"[""ini file"", ""ini file editor"", ""ini"", ""ini section"", ""config ini section""]",0.756
47,Font Metrics,2,"[""metrics"", ""font metrics""]",0.185
48,File Naming,4,"[""files"", ""filename"", ""filenames"", ""file naming""]",0.357
49,Vertical Align Baseline,3,"[""baseline"", ""vertical align baseline"", ""vertical""]",0.291
50,Modifier,2,"[""modifier"", ""modifing""]",0.199
51,Caret Painting,3,"[""caret"", ""caret"", ""caret painting""]",0.813
52,Single Click,4,"[""click menu item"", ""single click"", ""click item"", ""single click item""]",0.569
53,Launch Time,2,"[""launch time"", ""start time""]",0.237
54,Add Context,3,"[""add context"", ""context extension"", ""application context""]",0.348
55,Minimum Height,5,"[""set correct height"", ""height"", ""minimum height"", ""height"", ""height width height""]",0.697
56,Page Source,3,"[""page source"", ""page content"", ""containing page""]",0.281
57,Queryinterface Components Interfaces,3,"[""queryinterface components interfaces"", ""getinterface"", ""requestor getinterface components""]",0.22
58,File Editor,8,"[""editor"", ""file editor"", ""editor enhancement"", ""editor enhancement request"", ""editor enhancement request ability"", ""text editor"", ""editor"", ""editor""]",1.436
59,Platform Sensitive,5,"[""platform sensitive"", ""platform sensitive change"", ""platforms"", ""platform integration"", ""platform""]",0.377
60,Dom Changes,3,"[""dom"", ""dom"", ""dom changes""]",0.426
61,Td Div,3,"[""div"", ""td div"", ""div""]",0.358
62,Italic Text,5,"[""italic"", ""italic text"", ""italicized text"", ""italic correction"", ""pt bold italic""]",0.603
63,Compatibility Mode,2,"[""compatibility mode"", ""compatibility""]",0.211
64,Windows 98,2,"[""windows 98"", ""win95 00 950""]",0.201
65,Usr Bin,2,"[""usr"", ""usr bin""]",0.252
66,Mass Changing,4,"[""mass changing"", ""mass moving"", ""mass reassign"", ""mass moving""]",0.634
67,Scrollable Area,18,"[""scrollable area"", ""scroll"", ""scrollbar"", ""scrollbar appears"", ""vertical scroll"", ""scroll arrow"", ""vertical scroll bar"", ""vertical scroll arrow"", ""scroll arrows"", ""scroll bar"", ""horizontal scroll"", ""horizontal scroll bar"", ""scroll"", ""scrollbar"", ""scroll"", ""scrollable"", ""scrolling"", ""scroll""]",3.597
68,Installer Screen,6,"[""install"", ""install"", ""installer"", ""installer screen"", ""installation"", ""installer""]",1.12
69,Text Decoration,2,"[""text decoration"", ""decoration""]",0.156
70,Tostring,2,"[""tostring"", ""nsstring""]",0.287
71,Precondition Nsnull Aview,3,"[""code ns precondition nsnull"", ""offending code ns precondition"", ""precondition nsnull aview""]",0.279
72,Firefox,3,"[""firefox"", ""browser"", ""chrome""]",0.352
73,Exit Menu,5,"[""exit"", ""exit"", ""exit menu"", ""exit"", ""exits""]",1.776
74,Folder,5,"[""folder"", ""getfolder"", ""getfolder"", ""folder"", ""folder""]",1.246
75,Feature Implement,2,"[""implemented"", ""feature implement""]",0.18
76,Xpi,3,"[""xpi"", ""xpidl"", ""xpidl""]",0.58
77,Block Level,5,"[""block level"", ""blocker"", ""block code"", ""block"", ""block""]",0.601
78,Interface Names,3,"[""interfaces"", ""interface names"", ""components interfaces""]",0.285
79,Iso Jp,2,"[""iso"", ""iso jp""]",0.194
80,Image Map,4,"[""bitmap"", ""image map"", ""image maps"", ""imagemap""]",0.291
81,Character Set,5,"[""charset"", ""charset"", ""character set"", ""mail charset"", ""char""]",0.712
82,White Background,6,"[""white background"", ""foreground"", ""background"", ""background color"", ""foreground background"", ""background""]",1.173
83,Copied,3,"[""copied"", ""clone"", ""cloned""]",0.215
84,Autoconfig Rick,4,"[""autoconfig"", ""autoconfig rick"", ""1w autoconfig rick 1w"", ""rick 1w autoconfig rick""]",0.398
85,Application Window,4,"[""window does open"", ""application window"", ""window launches"", ""window open""]",0.417
86,Prerendered,2,"[""prerendered"", ""predefined""]",0.141
87,Bar Disappearance,2,"[""bar"", ""bar disappearance""]",0.197
88,Reg Expand,3,"[""reg expand"", ""example reg"", ""example reg expand""]",0.381
89,Win32 Nt4,2,"[""win32 nt4"", ""16 win32""]",0.169
90,19Mdk I586,3,"[""19mdk"", ""19mdk i586"", ""19mdk i586 entered""]",0.523
91,Exits File,3,"[""exits file"", ""file exit causing memory"", ""exits file exit causing""]",0.417
92,Sensitive Change,2,"[""sensitive"", ""sensitive change""]",0.188
93,Components Issue,4,"[""components issue"", ""issue add ui components"", ""components issue add ui"", ""components issue""]",0.702
94,Navigator Window,3,"[""navigator window"", ""navigator"", ""navigator window""]",0.426
95,Touch Delegate,3,"[""touch delegate"", ""remove touch"", ""remove touch delegate""]",0.414
96,08 M13,10,"[""m13"", ""08 m13"", ""win 08 m13 mac"", ""m13 win 08 m13"", ""09 m13 win"", ""m13 mac 08 m13"", ""08 m13 mac 08"", ""09 m13 win 08"", ""minor m11"", ""m11""]",1.096
97,Nsfilespec,3,"[""nsfilespec"", ""nsfilespec"", ""nsregisterself""]",0.661
98,Plevent Line,2,"[""plevent"", ""plevent line""]",0.216
99,Alt Text,7,"[""alt text"", ""alt"", ""alt title"", ""altifier"", ""set alt"", ""alt"", ""alt text""]",1.498
100,Nswidget,3,"[""nswidget"", ""nswidget"", ""nswinreg""]",0.629
101,Related Links,3,"[""related links"", ""related links folder"", ""related links folder does""]",0.828
102,Interaction Param,3,"[""interaction param"", ""user interaction param"", ""interaction""]",0.407
103,Display Compact,2,"[""compact"", ""display compact""]",0.25
104,Bij Browser,2,"[""bij browser"", ""cck mcd bij browser""]",0.178
105,Specific Features,2,"[""specific features"", ""mac specific features""]",0.132
106,Break Opportunity,2,"[""opportunity"", ""break opportunity""]",0.105
107,Cdata,2,"[""cdata"", ""cde""]",0.285
108,Archives Animating,3,"[""animation"", ""animations"", ""archives animating""]",0.232
109,Lets Close,2,"[""lets close"", ""close""]",0.234
110,Previously Saved,4,"[""saved"", ""previously saved"", ""save"", ""save""]",0.725
111,Bit Characters,2,"[""bit characters"", ""byte""]",0.169
112,Icon Changes,3,"[""icon changes"", ""icon"", ""icons""]",0.355
113,Dialog Machines,7,"[""dialog"", ""dialog machines"", ""dialog"", ""dialog boxes"", ""pretty dialog boxes"", ""boxes appear pretty dialog"", ""appear pretty dialog boxes""]",0.892
114,Button Does,4,"[""button does"", ""button"", ""buttons"", ""right buttons""]",0.704
115,Apprunner Crashes,7,"[""apprunner crashes"", ""inside apprunner"", ""latest apprunner"", ""apprunner"", ""macos86 apprunner"", ""linux6 apprunner"", ""apprunner optimized""]",0.741
116,Related Server,5,"[""server"", ""server"", ""related server"", ""server"", ""servers""]",1.377
117,Form Fields,4,"[""fields"", ""form fields"", ""custom field"", ""custom fields""]",0.316
118,Res Rdf,5,"[""res rdf"", ""rdf flash xul res"", ""dtds res rdf"", ""dtds res rdf flash"", ""flash xul res rdf""]",0.494
119,Defect,2,"[""defect"", ""defects""]",0.124
120,Applies Equally,2,"[""applies"", ""applies equally""]",0.209
121,Gnksa,2,"[""gnksa"", ""gnska""]",0.27
122,Focus Issues,3,"[""focus issues"", ""focus"", ""focus""]",0.549
123,White Text,3,"[""white text"", ""white text does"", ""white text selected""]",0.372
124,Event Handlers,2,"[""event handlers"", ""handler""]",0.262
125,Floater,2,"[""floater"", ""floaters""]",0.397
126,Compose Window,4,"[""compose window"", ""compose window launches"", ""rh compose window launches"", ""compose window begin""]",0.512
127,Depending Verbage,2,"[""verbage"", ""depending verbage""]",0.356
128,01 Spec,2,"[""spec"", ""01 spec""]",0.184
129,Change Appcores,3,"[""appcores"", ""change appcores"", ""converting appcores""]",0.608
130,Xptoolkit M10,7,"[""xptoolkit m10"", ""xptoolkit m10 feature"", ""xptoolkit m10 feature development"", ""sched xptoolkit"", ""sched xptoolkit m10"", ""sched xptoolkit m10 feature"", ""xptoolkit m10 task""]",1.413
131,Feature Arch,3,"[""arch"", ""feature arch"", ""feature arch implement""]",0.55
132,Outline Property,8,"[""outline"", ""outline property"", ""outline styles"", ""css2 outline property"", ""outline"", ""outline property"", ""css2 outline"", ""outlines""]",1.609
133,Text Size,9,"[""text size"", ""font size"", ""font"", ""font"", ""gigantic font"", ""font size"", ""font"", ""font size"", ""font sizes message""]",2.257
134,Trying Document,3,"[""document"", ""trying document"", ""incorrect document""]",0.248
135,Post Screenshot,4,"[""post screenshot"", ""screen shot"", ""screen shot actual"", ""screen shot actual result""]",0.587
136,Table Code,6,"[""tables"", ""table"", ""table code"", ""contain table"", ""table text"", ""table""]",0.872
137,Quirks Mode,2,"[""quirk"", ""quirks mode""]",0.184
138,File Operation,2,"[""file operation"", ""file io""]",0.179
139,Ntlm Authentication,3,"[""ntlm"", ""ntlm authentication"", ""ntlm auth""]",0.159
140,Nsobjectframe,2,"[""nsobjectframe"", ""nsframeimageloader""]",0.174
141,Converter,2,"[""converter"", ""converted""]",0.156
142,Causing Memory Leaks,2,"[""causing memory leaks"", ""exit causing memory leaks""]",0.278
143,Cck Mcd,2,"[""cck"", ""cck mcd""]",0.233
144,Dates,2,"[""dates"", ""datetime""]",0.19
145,Application Copy,2,"[""application copy"", ""application copy paste""]",0.132
146,Heights Corrupted Vertical Scroll,2,"[""heights corrupted vertical scroll"", ""corrupted vertical scroll bar""]",0.172
147,Ftp Directory,4,"[""ftp"", ""ftp directory"", ""ftp download"", ""ftp directory listing""]",0.418
148,Visual Indication,2,"[""indication"", ""visual indication""]",0.212
149,Identical,1,"[""identical""]",0.081
150,Round Dots,5,"[""dots"", ""round dots"", ""square dots"", ""dot"", ""round dots instead""]",0.534
151,Profile Manager Selectprofile,3,"[""selectprofile"", ""profile manager selectprofile"", ""profile manager selectprofile start""]",0.464
152,Jpg Border,7,"[""jpg border"", ""border br img"", ""jpg border br"", ""h2 jpg border"", ""src h2 jpg border"", ""border br img src"", ""jpg border br img""]",0.934
153,Reading File,4,"[""reading file"", ""reading file reading"", ""file reading file"", ""reading file reading file""]",0.232
154,Entered Indicating,2,"[""entered indicating"", ""entered""]",0.286
155,96 Mb,7,"[""96 mb"", ""96 mb ram"", ""p2 96 mb ram"", ""96 mb"", ""96 mb ram"", ""96 mb"", ""96 mb ram""]",1.885
156,View Source,2,"[""view"", ""view source""]",0.229
157,News Ticker,2,"[""news ticker"", ""news ticker applet""]",0.234
158,Unlock,2,"[""unlock"", ""unlocked""]",0.2
159,Requirement,2,"[""requirement"", ""requirements""]",0.144
160,Form Controls,2,"[""form controls"", ""form control""]",0.165
161,Customize Window,3,"[""customize window"", ""customize window does open"", ""longer problem customize window""]",0.466
162,Moment Reassigning,2,"[""moment reassigning"", ""moment""]",0.204
163,Default Size,2,"[""default size"", ""window set default size""]",0.146
164,Pp Customize,2,"[""pp customize"", ""pp customize button""]",0.252
165,Loading,2,"[""loading"", ""loader""]",0.174
166,Mailto Url,7,"[""mailto"", ""mailto url"", ""mailto"", ""mailto link"", ""mailto urls"", ""mailto link handling"", ""mailto link handling hasn""]",1.103
167,Set Bold,6,"[""set bold"", ""bold text"", ""set bold text"", ""bold"", ""setting bold"", ""setting bold won""]",0.812
168,Children,4,"[""children"", ""kids"", ""children"", ""child""]",0.506
169,Area Elements,3,"[""area elements"", ""contains area"", ""contains area elements""]",0.257
170,Messages,2,"[""messages"", ""message""]",0.182
171,Imap Code,2,"[""imap"", ""imap code""]",0.182
172,Refresh,3,"[""refresh"", ""restart"", ""refresh""]",0.53
173,Textual Information,1,"[""textual information""]",0.204
174,Domain Guessing,2,"[""domain"", ""domain guessing""]",0.132
175,Foo Jscontext,2,"[""foo jscontext"", ""native foo jscontext""]",0.344
176,Compareversion String,5,"[""compareversion"", ""compareversion string"", ""compareversion string smrtupdt txt"", ""package compareversion string smrtupdt"", ""22 package compareversion string""]",0.597
177,Attribute Changes,3,"[""attribute changes"", ""attributes"", ""attributes""]",0.337
178,General Useragent,3,"[""useragent"", ""general useragent"", ""general useragent vendorcomment""]",0.291
179,Win 95,2,"[""win 95"", ""95 98""]",0.152
180,Install Exe,4,"[""install exe"", ""exe does"", ""install exe does"", ""exe help""]",0.588
181,Dll Plds3 Dll,4,"[""dll plds3 dll"", ""plds3 dll plds3"", ""dll plds3 dll plds3"", ""plds3 dll plds3 dll""]",0.48
182,Skipping Ignorable,2,"[""ignorable"", ""skipping ignorable""]",0.119
183,List Block List,3,"[""list block list"", ""block list numbering code"", ""list block list numbering""]",0.267
184,List Length,2,"[""list length"", ""list length""]",0.388
185,Installer Spec,2,"[""installer spec"", ""installer spec mac""]",0.178
186,Return Prunichar,2,"[""prunichar"", ""return prunichar""]",0.302
187,Http Link,2,"[""http link"", ""url""]",0.168
188,Mime Emitters Src,3,"[""mime emitters src"", ""mailnews mime emitters"", ""mailnews mime emitters src""]",0.402
189,Named Entities,2,"[""entities"", ""named entities""]",0.216
190,Save File Saving File,3,"[""save file saving file"", ""windows save file saving"", ""native windows save file""]",0.219
191,Msvcrt Dll,2,"[""msvcrt"", ""msvcrt dll""]",0.174
192,Dependency Tree,4,"[""dependency tree"", ""dependencies"", ""dependency"", ""dependencies""]",0.896
193,Progress Meter,2,"[""progress meter"", ""progress bar""]",0.219
194,Utf,3,"[""utf"", ""unicode"", ""unicode""]",0.343
195,Wordpad,2,"[""wordpad"", ""notepad""]",0.146
196,Short Heights Corrupted,2,"[""short heights corrupted"", ""short heights corrupted vertical""]",0.172
197,Module Base,2,"[""module base"", ""const module base""]",0.224
198,Hash Table,2,"[""hash table"", ""preference hash table""]",0.278
199,Enhancement Requests,4,"[""enhancements"", ""enhancement requests"", ""enhancement request"", ""enhancements""]",0.59
200,Dogfood Mouse,2,"[""dogfood mouse"", ""dogfood mouse wheel scrolling""]",0.264
201,Copy Paste,5,"[""paste"", ""copy paste"", ""cut copy paste"", ""pasted"", ""copy paste""]",0.665
202,Nsstring2 Cpp,5,"[""xpcom ds nsstring2"", ""nsstring2 cpp"", ""nsstring2 cpp line"", ""ds nsstring2 cpp line"", ""xpcom ds nsstring2 cpp""]",0.435
203,Enable Proxy,10,"[""proxy"", ""proxies"", ""enable proxy"", ""proxy support"", ""proxy issues"", ""proxy"", ""proxy server"", ""proxies"", ""proxy servers"", ""change proxies""]",1.462
204,Img Element,3,"[""img"", ""img element"", ""img""]",0.449
205,Mouse Drag,4,"[""mouse drag"", ""drag"", ""drag"", ""dragging""]",0.623
206,Ignorable Whitespace,2,"[""ignorable whitespace"", ""skipping ignorable whitespace""]",0.119
207,Netwerk Protocol,2,"[""netwerk"", ""netwerk protocol""]",0.224
208,Add Hotkey,2,"[""hotkey"", ""add hotkey""]",0.422
209,Padding,2,"[""padding"", ""padding""]",0.402
210,Xp Menus,4,"[""xp menus"", ""xpmenus"", ""xpmenus menuitems"", ""xpmenu positioning""]",0.574
211,Modules Libimg,3,"[""modules libimg"", ""libimg src"", ""modules libimg src""]",0.256
212,Dll Raptorview,11,"[""dll raptorview"", ""raptorview dll"", ""dll raptorview dll"", ""raptorwidget dll"", ""dll raptorwidget dll"", ""raptorview dll raptorview dll"", ""dll raptorview dll raptorview"", ""dll raptorhtml"", ""raptorgfxwin"", ""raptorgfxwin dll"", ""raptorgfxwin dll raptorgfxwin dll""]",1.451
213,Save Button,2,"[""save button"", ""save link""]",0.227
214,Editing,2,"[""editing"", ""edit""]",0.234
215,Actual Result,2,"[""actual result"", ""shot actual result""]",0.264
216,Optional User Interaction Param,2,"[""optional user interaction param"", ""add optional user interaction""]",0.294
217,Commands,4,"[""commands"", ""command"", ""command"", ""command""]",0.886
218,Customize Button,2,"[""customize button"", ""customize button does""]",0.479
219,Rang Fail,3,"[""rang"", ""rang fail"", ""rang deserve""]",0.422
220,Tabbing Works,6,"[""tabbing"", ""tab"", ""tabbing works"", ""tab key"", ""tab"", ""tab key""]",1.088
221,Spent,1,"[""spent""]",0.058
222,Arial 10 Pt,2,"[""arial"", ""arial 10 pt""]",0.348
223,Dogfood Issue,3,"[""dogfood"", ""dogfood issue"", ""dogfood""]",0.651
224,Allows,1,"[""allows""]",0.091
225,Feature Nswinreg Setvalue,4,"[""nswinreg setvalue nswinreg getvalue"", ""feature nswinreg setvalue"", ""feature nswinreg setvalue nswinreg"", ""implemented nswinreg setvalue""]",0.484
226,Bookmark Page,14,"[""bookmarks"", ""bookmark"", ""bookmark page"", ""bookmarks"", ""bookmarks"", ""bookmarks tasks"", ""bookmarks tasks reassigning"", ""bookmark provider"", ""bookmarks"", ""bookmark file"", ""provider bookmark provider"", ""bookmark provider bookmark provider"", ""implement bookmark"", ""implement bookmark provider""]",4.998
227,Steps Type,2,"[""steps type"", ""steps type abc click""]",0.162
228,Profile Wizard,5,"[""profile wizard"", ""profilewizard start"", ""wizard profilemanager"", ""wizard profilemanager start"", ""profile wizard profilemanager start""]",0.565
229,Tar Gz,2,"[""tar"", ""tar gz""]",0.21
230,Error Code,2,"[""error code"", ""error codes""]",0.155
231,Long Running,2,"[""run"", ""long running""]",0.184
232,Baseline Xml,3,"[""xml"", ""xml"", ""baseline xml""]",0.516
233,Tossed,2,"[""tossed"", ""thrown""]",0.236
234,Folder Does,2,"[""folder does"", ""links folder does""]",0.326
235,Performance Analysis,3,"[""performance"", ""performance analysis"", ""sufficient performance analysis""]",0.348
236,Modified,2,"[""modified"", ""modify""]",0.207
237,Document Createprocessinginstruction,2,"[""createprocessinginstruction"", ""document createprocessinginstruction""]",0.201
238,Slower,3,"[""slower"", ""speed"", ""speed""]",0.427
239,Xpinstall,4,"[""xpinstall"", ""xpinstall"", ""xpinstall"", ""xpinstall""]",2.28
240,Ylong Change Qa,1,"[""ylong change qa""]",0.096
241,Away Pushed,2,"[""away pushed"", ""pushing""]",0.259
242,Obtain Search,2,"[""searching"", ""obtain search""]",0.209
243,Smartdownload Uncompression,3,"[""smartdownload"", ""smartdownload uncompression"", ""smartdownload uncompression routine prepending""]",0.511
244,Mis Identifies,2,"[""identifies"", ""mis identifies""]",0.369
245,Registry Related,2,"[""registry related"", ""registry""]",0.194
246,Download,2,"[""download"", ""download""]",0.37
247,Auto Proxy,3,"[""auto proxy"", ""auto proxy config"", ""autoproxy""]",0.342
248,Ebx Ss 013F,3,"[""ebx ss 013f"", ""ebx ss 013f esp"", ""eflgs ebx ss 013f""]",0.222
249,Child Selectors,2,"[""selectors"", ""child selectors""]",0.136
250,News Team,3,"[""news team"", ""mail news team"", ""newsgroup""]",0.265
251,Respect Style Context,1,"[""respect style context""]",0.077
252,Marek,2,"[""marek"", ""marek""]",0.584
253,Template,1,"[""template""]",0.098
254,Links Machines,2,"[""links machines"", ""related links machines""]",0.326
255,Soft Hyphen,5,"[""hyphen"", ""hyphens"", ""soft hyphen"", ""soft hyphens"", ""hyphenation""]",0.376
256,Msg,2,"[""msg"", ""msg""]",0.424
257,Campers Changed Qa,2,"[""campers changed qa"", ""happy campers changed qa""]",0.496
258,Changing Qa,2,"[""changing qa"", ""accept changing qa""]",0.262
259,Pseudo Transitions,2,"[""transitions"", ""pseudo transitions""]",0.124
260,Remind,1,"[""remind""]",0.079
261,Myclass,1,"[""myclass""]",0.091
262,A11Y State,2,"[""a11y state"", ""a11y state change""]",0.291
263,Cpp Line,3,"[""cpp line"", ""cpp line"", ""cpp""]",0.46
264,Stamping,1,"[""stamping""]",0.352
265,Languages,3,"[""languages"", ""lang"", ""lang""]",0.567
266,Ieee,1,"[""ieee""]",0.083
267,Parent Child Relationship,2,"[""parent"", ""parent child relationship""]",0.286
268,Ask George,2,"[""george"", ""ask george""]",0.234
269,Additional,1,"[""additional""]",0.111
270,Start Profiling,3,"[""start profiling"", ""profiling data"", ""start profiling data""]",0.153
271,Treatment Accepting,2,"[""treatment accepting"", ""special treatment accepting""]",0.192
272,Stack Dump,2,"[""stack dump"", ""stacks""]",0.185
273,Block Frame,3,"[""block frame"", ""frameset"", ""frame""]",0.281
274,Ability,2,"[""ability"", ""ability""]",0.628
275,Viewer Reassigning,1,"[""viewer reassigning""]",0.117
276,Libjar,1,"[""libjar""]",0.15
277,List Item,7,"[""list item"", ""li list"", ""li list item"", ""li list item li"", ""item li list item"", ""list item li list"", ""list""]",0.7
278,Widgettoscreen 47,7,"[""widgettoscreen"", ""widgettoscreen 47"", ""nswindow widgettoscreen 47"", ""widgettoscreen 47 nswindow"", ""nswindow widgettoscreen 47 nswindow"", ""widgettoscreen 47 nswindow widgettoscreen"", ""47 nswindow widgettoscreen 47""]",0.992
279,Ari,1,"[""ari""]",0.059
280,Arrows,1,"[""arrows""]",0.105
281,Paragraph,1,"[""paragraph""]",0.052
282,Available Space Ins Quite,2,"[""available space ins quite"", ""space ins quite right""]",0.31
283,Fine Reassigning,2,"[""fine reassigning"", ""accurate reassign""]",0.246
284,List Renumbering,4,"[""renumbering"", ""list renumbering"", ""renumbering happens"", ""list renumbering happens""]",0.575
285,Encoding,2,"[""encoding"", ""encoded""]",0.231
286,Widgets Menus,3,"[""widgets menus"", ""toolkit widgets menus xp"", ""xp toolkit widgets menus""]",0.312
287,Original Ext,2,"[""ext"", ""original ext""]",0.178
288,Progid,1,"[""progid""]",0.103
289,Option Disappears,2,"[""option disappears"", ""browser option disappears""]",0.31
290,Etp,1,"[""etp""]",0.108
291,Begins,2,"[""begins"", ""start""]",0.238
292,Movewelcomeicon,1,"[""movewelcomeicon""]",0.057
293,Urls 255,2,"[""urls 255"", ""urls 255 characters""]",0.292
294,Report Serves,1,"[""report serves""]",0.139
295,Scaling,3,"[""scaling"", ""scaled"", ""scale""]",0.14
296,Evaluation,1,"[""evaluation""]",0.147
297,Text Mail,2,"[""text mail"", ""plain text mail""]",0.18
298,Cursor Changes,6,"[""cursor"", ""cursors"", ""cursor"", ""cursor changes"", ""change cursor"", ""selection cursor""]",1.063
299,Engineering Groups,1,"[""engineering groups""]",0.248
300,Needinfo,1,"[""needinfo""]",0.13
301,95 Service Pack,3,"[""95 service pack"", ""windows 95 service"", ""windows 95 service pack""]",0.402
302,Xul File Chrome Messenger,2,"[""xul file chrome messenger"", ""localizable xul file chrome""]",0.278
303,Invisible,1,"[""invisible""]",0.107
304,Garbled,1,"[""garbled""]",0.108
305,Add Adapters,2,"[""add adapters"", ""issue add adapters""]",0.252
306,Nsappcoresmanager Shutdown,2,"[""nsappcoresmanager"", ""nsappcoresmanager shutdown""]",0.364
307,Runtime Working,1,"[""runtime working""]",0.088
308,Obtain,1,"[""obtain""]",0.157
309,Section Keys,1,"[""section keys""]",0.089
310,Jimmy,2,"[""jimmy"", ""jimmy""]",0.414
311,Strict,1,"[""strict""]",0.1
312,Cpu Usage,2,"[""cpu"", ""cpu usage""]",0.126
313,Check Cer Lang Left,1,"[""check cer lang left""]",0.096
314,Poll,1,"[""poll""]",0.055
315,Typing,2,"[""typing"", ""typing""]",0.392
316,Extra Word,1,"[""extra word""]",0.132
317,Metadata,2,"[""metadata"", ""metadata""]",0.306
318,Donna,1,"[""donna""]",0.104
319,Naming,1,"[""naming""]",0.075
320,Selection Offsets,1,"[""selection offsets""]",0.137
321,Merge Fenix Closes Fall,1,"[""merge fenix closes fall""]",0.157
