bug_id,priority,matched_labels,matched_phrases,label_count
7439,P3,Nsappcoresmanager Shutdown; Appcore Shutdown; Change Appcores,nsappcoresmanager shutdown(0.778); appcore shutdown change appcores(0.777); converting appcores(0.754),3
1995,P4,Img Src,html img src foo(0.737),1
5416,P4,Native Declaration,declaration syntax allows(0.740),1
10026,P4,Scrollable Area; Heights Corrupted Vertical Scroll,scrollbar appears(0.760); corrupted vertical scroll bar(0.753),2
11229,P4,Inherit Properties,inherit properties(0.758),1
11427,P4,Menu Behavior Lower; Document Inside Apprunner; Apprunner Crashes; Link Toolbar; Option Disappears; Menu Items; Change Appcores; Password Dialog,menu behavior lower(0.778); document inside apprunner(0.763); apprunner crashes(0.760); toolbar behavior(0.754); browser option disappears(0.754); optionlist menu(0.753); converting appcores(0.752); password dialog box starts(0.751),8
11444,P4,Password Dialog; Save File Saving File; Customize Window; Picker Dialog; Pp Customize; Dialog Machines; File Types; Read Write,password dialog box starts(0.769); windows save file saving(0.763); customize window does open(0.756); picker dialog(0.755); pp customize button(0.754); dialog boxes(0.751); file type native windows(0.750); style user modify read(0.750),8
11824,P4,Password Dialog,password dialog box starts(0.728),1
12309,P4,Compareversion String,compareversion string smrtupdt txt(0.723),1
12761,P4,Smartdownload Uncompression,smartdownload uncompression routine prepending(0.696),1
12939,P4,Profile Manager Selectprofile,profile manager selectprofile start(0.722),1
13068,P4,Single Click,click menu item(0.695),1
13423,P4,Xpi,xpidl(0.731),1
13831,P4,Document Inside Apprunner,document inside apprunner(0.705),1
14903,P4,Xp Menus,xpmenus menuitems(0.759),1
15083,P4,Depending Verbage; Modifier,depending verbage(0.791); modifing(0.757),2
15116,P4,Testcase Displays,testcase displays(0.725),1
15284,P4,Queryinterface Components Interfaces; Context Settings,requestor getinterface components(0.768); style context settings(0.767),2
15286,P4,Swap Foreground,swap foreground(0.746),1
15436,P4,Sp5 Changing Summary,winnt4 sp5 changing summary(0.721),1
15731,P4,Chars Lang,latin1 chars lang(0.745),1
15853,P4,Spec Mac Exceptions; Ini File; General Ini Section Parsing,installer spec mac exceptions(0.761); config ini section(0.760); general ini section parsing(0.754),3
16603,P4,Document Createprocessinginstruction,document createprocessinginstruction(0.711),1
17089,P4,Heights Corrupted Vertical Scroll; Resize Browser,corrupted vertical scroll bar(0.757); resize browser window(0.755),2
17092,P4,Heights Corrupted Vertical Scroll,corrupted vertical scroll bar(0.727),1
17165,P4,Dogfood Mouse; Mouse Wheel; Dogfood Issue; Heights Corrupted Vertical Scroll; Cursor Changes; Premature Scroll Bar,dogfood mouse wheel scrolling(0.819); mouse wheel scrolling broken(0.806); dogfood issue(0.770); corrupted vertical scroll bar(0.763); change cursor(0.760); premature scroll bar(0.754),6
1859,P5,Outline Property; Focus Pseudo Class,css2 outline property(0.766); focus pseudo class(0.765),2
2055,P5,Support Urls; Dl Compact; Url Parsing,support urls(0.759); compact dls(0.757); url parsing(0.751),3
10756,P5,Attribute Changes,attribute changes(0.720),1
11371,P5,Img Src,img src h1 jpg(0.718),1
11417,P5,Bookmark Page; Generate Bookmarks Folders Automatically; Link Toolbar; Buglist; Mailto Url; Profile Wizard; Messenger Content Default; File Editor; Smartdownload Uncompression; Compose Window,bookmarks tasks(0.883); generate bookmarks folders automatically(0.818); toolbar behavior(0.783); buglist(0.782); mailto link handling hasn(0.778); profile wizard profilemanager start(0.774); messenger content default(0.774); editor enhancement request ability(0.773); smartdownload uncompression routine prepending(0.773); compose window launches(0.773),10
11557,P5,Nsifilespec Idl,nsifilespec idl(0.759),1
12230,P5,Change Appcores,converting appcores(0.745),1
12699,P5,Netkeeping Seal; Mozillazine Page,netkeeping seal(0.758); mozillazine page(0.755),2
12752,P5,Pixel Height; Testcase Displays; Text Size,illegible pixel height(0.795); testcase displays(0.771); font sizes message(0.756),3
13093,P5,Cursor Changes,change cursor(0.786),1
13424,P5,Xpi,xpidl(0.730),1
13827,P5,Tall Image,tall image(0.746),1
16959,P5,Generate Bookmarks Folders Automatically; Bookmark Page,generate bookmarks folders automatically(0.794); implement bookmark provider(0.787),2
18287,P5,Weather Image,complex javascript weather image(0.744),1
18808,P5,Menu Items; Generate Bookmarks Folders Automatically,optionlist menu(0.754); generate bookmarks folders automatically(0.752),2
20276,P5,Enable Proxy; Single Click; Components Issue; Password Dialog; Add Hotkey; Close Add Optional User; Appcore Shutdown; Apps Html Dialogs; Widgets Menus; Menu Items,change proxies(0.794); single click item(0.783); issue add ui components(0.779); password dialog box starts(0.775); add hotkey(0.769); close add optional user(0.767); shutdown change appcores(0.766); apps html dialogs(0.766); toolkit widgets menus xp(0.765); optionlist menu(0.765),10
20418,P5,Longer Netscape Changing,netscape changing qa(0.695),1
21081,P5,Trigger Repaint,trigger repaint(0.731),1
21827,P5,Scrolling Disabled,scrolling disabled(0.746),1
23207,P5,File Naming,filenames(0.726),1
23679,P5,Username Password,username password(0.750),1
24125,P5,Implement Signed Scripts Entering,implement signed scripts entering(0.744),1
24126,P5,Image Viewers,image information(0.733),1
24979,P5,Profile Manager Selectprofile; Profile Wizard,profile manager selectprofile start(0.807); profile wizard profilemanager start(0.788),2
27771,P5,Text Field,text fields(0.713),1
